Feature,Chi-Square,P-Val
lang_entropy,2.117066351674898,0.14566532756111014
p_switch,3.5853268393645896,0.058291948877074125
burst,23.13733891505101,1.5083308247749528e-06
span_entropy,14.641325024501992,0.00013003176046866839
memory,1.9956519869090386,0.15775116695890418
v,14.232581241021503,0.00016154913152862055
f1,0.4974955485222579,0.48060262824294864
f2,0.08830204694486532,0.7663469516406777
mean_hi,50.24828184774088,1.3547326997358347e-12
stddev_hi,26.491931811647937,2.646410997895146e-07
mean_en,8.239938485453866,0.004097852123796557
stddev_en,17.978424861844474,2.234229489016187e-05
span_mean,32.727725379696565,1.0601422099356406e-08
span_std,57.16592212045951,4.005518771041254e-14
hi_span_mean,30.256833604129937,3.784554940209572e-08
hi_span_std,59.87763372845238,1.0094207409698699e-14
en_span_mean,18.4309450062452,1.761736512009199e-05
en_span_std,23.434707099941086,1.2922591774871684e-06
l2_mean,8.514083138405397,0.0035240843454611465
l2_std,0.02092492669146312,0.8849836586061606
cos_mean,0.00154458212652541,0.9686502721585468
cos_std,0.04107720686624325,0.839388965922249
