batch_size,lr1,lr2,test_acc,test_micro,test_macro,val_acc,val_micro,val_macro
32,2e-05,0.001,0.6973140495867768,0.7017543859649122,0.6984126984126984,0.7193480861244019,0.7227138643067846,0.7193708609271524
32,2e-05,0.0001,0.6931818181818182,0.6988304093567251,0.6987041868023779,0.6975179425837321,0.7020648967551623,0.7018988829588096
32,3e-05,0.001,0.71875,0.7251461988304092,0.7249957228400343,0.7165071770334929,0.7197640117994101,0.7197249902093033
32,3e-05,0.0001,0.7112603305785125,0.7134502923976607,0.7090624999999999,0.7088815789473685,0.7138643067846607,0.7084969637870662
