batch_size,lr1,lr2,test_acc,test_micro,test_macro,val_acc,val_micro,val_macro
batch_size,lr1,lr2,test_acc,test_micro,test_macro,val_acc,val_micro,val_macro
32,2e-05,0.001,0.6048666007905138,0.60932944606414,0.5956896551724138,0.665340909090909,0.6676470588235294,0.6486800354794758
batch_size,lr1,lr2,test_acc,test_micro,test_macro,val_acc,val_micro,val_macro
32,2e-05,0.001,0.6048666007905138,0.60932944606414,0.5956896551724138,0.665340909090909,0.6676470588235294,0.6486800354794758
32,2e-05,0.0001,0.6366106719367589,0.6384839650145773,0.5978745934498146,0.6994318181818181,0.7029411764705882,0.6716232369113078
32,3e-05,0.001,0.6185770750988143,0.6268221574344023,0.6146338038059125,0.6579545454545455,0.6617647058823529,0.6403307852931166
32,3e-05,0.0001,0.6116600790513834,0.6151603498542274,0.5846238532110091,0.6795454545454546,0.6823529411764706,0.6522727272727273
32,5e-05,0.001,0.6331521739130435,0.6326530612244898,0.3875,0.6204545454545455,0.6264705882352941,0.392506928910086
32,5e-05,0.0001,0.6303112648221344,0.6297376093294461,0.5872912107172972,0.6806818181818182,0.6852941176470588,0.6548354348712987
batch_size,lr1,lr2,test_acc,test_micro,test_macro,val_acc,val_micro,val_macro
32,2e-05,0.001,0.6280879446640316,0.6297376093294461,0.5953422697842061,0.6534090909090909,0.6588235294117647,0.6156095278936493
32,2e-05,0.0001,0.6138833992094862,0.6151603498542274,0.5899804390349924,0.6738636363636363,0.6764705882352942,0.6509109916367981
32,3e-05,0.001,0.6064723320158103,0.6064139941690962,0.5813026140894993,0.65625,0.6617647058823529,0.6344120204579667
32,3e-05,0.0001,0.678606719367589,0.6793002915451894,0.5555319950994251,0.6676136363636364,0.6735294117647059,0.536221198156682
