lr,hidden_size,acc,micro, macro
2e-05,25,0.5658227848101266,0.5662172878667724,0.5679958117695607,
2e-05,50,0.5935126582278482,0.5939730372720063,0.5906807690813476,
2e-05,100,0.595253164556962,0.5947660586835845,0.5962177714710839,
2e-05,200,0.5995253164556962,0.5995241871530531,0.5977979479090152,
2e-05,500,0.5876582278481012,0.5876288659793815,0.5871363428272028,
