batch_size,lr1,lr2,test_acc,test_micro,test_macro,val_acc,val_micro,val_macro
32,2e-05,0.001,0.7396694214876033,0.7426900584795322,0.7416208791208792,0.7154605263157895,0.7227138643067846,0.7211975922167004
32,2e-05,0.0001,0.7042871900826446,0.7076023391812865,0.7073521358159912,0.7088815789473685,0.7138643067846607,0.7136151052507818
32,3e-05,0.001,0.700154958677686,0.7046783625730995,0.7046758376580629,0.7031997607655502,0.7079646017699115,0.7073126062878822
32,3e-05,0.0001,0.7169421487603306,0.7192982456140351,0.7181318681318681,0.7126196172248803,0.7197640117994101,0.7187852009675081
